"cid"	"pid1"	"pid2"	"relation"	"location"	"locid"	"department"	"startdate"	"stopdate"	"addedby"	"dateadded"
"2"	"2"	"3"	"1"	"University of California, Berkeley"	"312"	""	"2000-00-00"	"2005-00-00"	"david"	"2005-01-15 17:33:57"
"3"	"4"	"3"	"2"	"University of California, Berkeley"	"312"	\N	"2003-00-00"	"2006-00-00"	"david"	"2005-01-15 17:35:17"
"5"	"6"	"3"	"1"	"University of California, Berkeley"	"312"	""	"2002-00-00"	"2008-00-00"	"david"	"2005-01-15 19:02:54"
"6"	"18761"	"9"	"1"	"University of California, Berkeley"	"312"	\N	"0000-00-00"	"1984-00-00"	"david"	"2005-01-15 19:06:16"
"7"	"10"	"16"	"2"	"Washington University, Saint Louis"	"497"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-15 19:06:58"
"8"	"3"	"16"	"2"	"Washington University, Saint Louis"	"497"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-15 19:07:44"
"9"	"3"	"26"	"1"	"Yale University"	"507"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-15 19:09:19"
"13"	"13"	"14"	"2"	"Massachusetts Institute of Technology"	"172"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-15 19:10:28"
"14"	"14"	"23"	"1"	"Princeton University"	"238"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-15 19:10:56"
"15"	"14"	"25"	"2"	"National Institute of Mental Health"	"214"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-15 19:11:40"
"16"	"22"	"25"	"2"	"National Institute of Mental Health"	"214"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-15 19:13:07"
"17"	"27"	"3"	"1"	"University of California, Berkeley"	"312"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 19:21:30"
"18"	"28"	"3"	"2"	"University of California, Berkeley"	"312"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 19:22:09"
"19"	"8"	"3"	"1"	"University of California, Berkeley"	"312"	""	"2001-00-00"	"2006-00-00"	"david"	"2005-01-15 19:23:08"
"20"	"24"	"16"	"1"	"California Institute of Technology"	"33"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-15 19:25:23"
"21"	"29"	"24"	"2"	"Baylor College of Medicine"	"20"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-15 19:26:57"
"22"	"28"	"30"	"2"	"University of California, Berkeley"	"312"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 19:27:21"
"23"	"8"	"31"	"0"	"University of California, Berkeley"	"312"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-15 19:27:40"
"25"	"5"	"3"	"1"	"University of California, Berkeley"	"312"	"Psychology"	"2003-00-00"	"2009-00-00"	"hayden"	"2005-01-15 19:32:14"
"26"	"34"	"31"	"0"	"University of California, Berkeley"	"312"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-15 19:32:57"
"27"	"23"	"35"	"1"	"University of Cambridge"	"370"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 19:34:11"
"28"	"23"	"36"	"2"	"Massachusetts Institute of Technology"	"172"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 19:35:12"
"29"	"38"	"37"	"2"	"National Institutes of Health"	"212"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 19:41:03"
"30"	"39"	"38"	"2"	"Columbia University"	"54"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 19:42:32"
"31"	"40"	"37"	"2"	"National Eye Institute"	"196"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 19:44:24"
"33"	"42"	"37"	"1"	""	"1"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 19:46:17"
"34"	"43"	"202"	"1"	"University of California, Berkeley"	"312"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-15 19:47:29"
"35"	"44"	"40"	"2"	"Stanford University"	"277"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 19:47:44"
"36"	"17"	"3"	"1"	"University of California, Berkeley"	"312"	""	"1996-00-00"	"2002-00-00"	"david"	"2005-01-15 19:47:59"
"37"	"44"	"43"	"1"	"University of California, Berkeley"	"312"	\N	"0000-00-00"	"1985-00-00"	"hayden"	"2005-01-15 19:49:17"
"38"	"17"	"45"	"2"	"National Institute of Mental Health"	"214"	\N	"2002-00-00"	"2010-00-00"	"david"	"2005-01-15 19:50:26"
"39"	"46"	"40"	"2"	"Stanford University"	"277"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 19:50:38"
"40"	"46"	"43"	"1"	"University of California, Berkeley"	"312"	\N	"0000-00-00"	"1992-00-00"	"david"	"2005-01-15 19:52:06"
"41"	"48"	"16"	"1"	"Washington University, Saint Louis"	"497"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 19:53:03"
