"pid"	"firstname"	"middlename"	"lastname"	"degrees"	"location"	"locid"	"area"	"majorarea"	"award"	"orcid_id"	"homepage"	"addedby"	"dateadded"
"1"	"Stephen"	"V"	"David"	"Ph.D."	"Oregon Health and Science University"	"226"	"auditory system, attention"	"neuro,csd,bme"	""	"0000-0003-4135-3104"	"http://hearingbrain.org/"	"david"	"2005-01-14 15:50:37"
"3"	"Jack"	"L"	"Gallant"	""	"University of California, Berkeley"	"312"	"Systems"	"neuro,psych"	""	\N	"http://gallantlab.org"	"david"	"2005-01-14 15:51:51"
"667145"	"Christian"	"T"	"Totten"	"Ph.D."	"University of Florida, Gainesville"	"380"	"Environmental Engineering"	"etree,environment"	\N	\N	""	"pq"	"2016-07-23 11:14:13"
"5"	"Kendrick"	"N"	"Kay"	""	"Washington University, Saint Louis"	"497"	"visual system, fMRI, computational methods, neural network models"	"neuro"	""	\N	"http://kendrickkay.net"	"david"	"2005-01-15 18:20:41"
"6"	"Ryan"	""	"Prenger"	\N	"Lawrence Livermore National Laboratory"	"1480"	"visual system"	"neuro"	\N	\N	""	"david"	"2005-01-15 18:23:32"
"8"	"Kathleen"	"A"	"Hansen"	\N	"National Institute of Mental Health"	"214"	""	"neuro"	\N	\N	""	"hayden"	"2005-01-15 18:38:58"
"9"	"Melvin"	"P."	"Klein"	"Ph.D."	"University of California, Berkeley"	"312"	"biophysics"	"physics,chemistry"	""	\N	"http://www.lbl.gov/Science-Articles/Archive/mel-klein.html"	"hayden"	"2005-01-15 18:39:25"
"10"	"C"	"Edward"	"Connor"	\N	"Johns Hopkins University"	"117"	"visual system"	"neuro"	\N	\N	"http://www.mb.jhu.edu/connor.asp"	"hayden"	"2005-01-15 18:40:54"
"11"	"Scott"	"L"	"Brincat"	\N	"Massachusetts Institute of Technology"	"172"	"Systems"	"neuro"	\N	\N	""	"hayden"	"2005-01-15 18:42:28"
"12"	"David"	"A"	"Hinkle"	\N	""	"1"	"Visual system"	"neuro"	\N	\N	""	"hayden"	"2005-01-15 18:42:48"
"13"	"Anitha"	""	"Pasupathy"	\N	"University of Washington, Seattle"	"464"	"Visual system"	"neuro"	\N	\N	"http://depts.washington.edu/behneuro/research_directory/directory/faculty/pasupathy.shtml"	"hayden"	"2005-01-15 18:43:25"
"14"	"Earl"	"K"	"Miller"	\N	"Massachusetts Institute of Technology"	"172"	"Systems"	"neuro"	\N	\N	"http://www.ekmiller.org/"	"hayden"	"2005-01-15 18:45:59"
"15"	"Semir"	""	"Zeki"	\N	"University College London"	"346"	"Vision"	"neuro"	\N	\N	"http://www.vislab.ucl.ac.uk/"	"hayden"	"2005-01-15 18:51:16"
"16"	"David"	"C"	"Van Essen"	""	"Washington University, Saint Louis"	"497"	"Visual system"	"neuro"	""	""	"http://brainvis.wustl.edu/wiki/index.php/Main_Page"	"hayden"	"2005-01-15 18:52:20"
"17"	"William"	""	"Vinje"	""	"Johns Hopkins University"	"117"	"Systems"	"neuro"	\N	\N	""	"hayden"	"2005-01-15 18:55:25"
"18"	"Thomas"	"D"	"Albright"	\N	"Salk Institute for Biological Studies"	"258"	"Vision"	"neuro"	\N	\N	"http://www.salk.edu/faculty/faculty/details.php?id=1"	"hayden"	"2005-01-15 18:57:21"
"19"	"Richard"	"A"	"Andersen"	\N	"California Institute of Technology"	"33"	"Systems"	"neuro"	\N	\N	"http://www.vis.caltech.edu/"	"hayden"	"2005-01-15 18:58:11"
"20"	"John"	"A"	"Assad"	""	"Harvard Medical School"	"84"	"attention, motivation"	"neuro,chemistry"	""	\N	"http://www.fas.harvard.edu/~biophys/John_Assad.htm"	"hayden"	"2005-01-15 18:59:17"
"21"	"Horace"	""	"Barlow"	\N	"University of Cambridge"	"370"	"Computation & Theory"	"neuro,physiology"	\N	\N	""	"hayden"	"2005-01-15 19:01:03"
"22"	"Narcisse"	""	"Bichot"	\N	"National Institute of Mental Health"	"214"	""	"neuro"	\N	\N	""	"hayden"	"2005-01-15 19:01:40"
"24"	"John"	"HR"	"Maunsell"	""	"University of Rochester"	"432"	"Vision"	"neuro"	""	""	""	"hayden"	"2005-01-15 19:04:36"
"25"	"Robert"	""	"Desimone"	"Ph.D."	"Massachusetts Institute of Technology"	"172"	"Systems, attention, vision"	"neuro"	""	\N	"http://web.mit.edu/mcgovern/html/Principal_Investigators/desimone.shtml"	"hayden"	"2005-01-15 19:05:37"
"26"	"Wendell"	"R (Tex)"	"Garner"	\N	"Yale University"	"507"	"Psychology"	"neuro,psych"	\N	\N	""	"david"	"2005-01-15 19:09:11"
"27"	"Joseph"	"P"	"Rogers"	\N	"Ignition Systems"	"97"	""	"neuro"	\N	\N	""	"hayden"	"2005-01-15 19:20:56"
"28"	"Rachel"	""	"Shoup"	\N	"University of California, Berkeley"	"312"	""	"neuro"	\N	\N	""	"hayden"	"2005-01-15 19:21:55"
"29"	"James"	"J"	"DiCarlo"	\N	"Massachusetts Institute of Technology"	"172"	"Visual Cortex"	"neuro"	\N	\N	"http://web.mit.edu/dicarlo-lab/index.html"	"david"	"2005-01-15 19:26:39"
"31"	"Yang"	""	"Dan"	\N	"University of California, Berkeley"	"312"	"Visual Cortex"	"neuro"	\N	\N	"http://mcb.berkeley.edu/faculty/NEU/dany.html"	"david"	"2005-01-15 19:27:30"
"32"	"Gidon"	""	"Felsen"	\N	"University of Colorado Anschutz Medical Campus, Denver"	"5010"	"Systems"	"neuro"	\N	\N	""	"david"	"2005-01-15 19:28:10"
